,Title,Published_date,Views,Likes,Comments,Video_length,Month
0,This Monster Samsung Tablet is Awesome!,2023-07-31,105718,12856,451,60.0,Jul
1,Tesla Solar Roof Review: Was it Worth It?,2023-07-29,4142903,202400,14221,1827.0,Jul
2,Samsung Z Fold 5 and Z Flip 5 Impressions: They Settled!,2023-07-26,3159007,96157,5422,509.0,Jul
3,The Truth about the New Beats by Dre!,2023-07-24,2017765,71662,2978,661.0,Jul
4,The Worst Hot Takes in Tech,2023-07-21,3032570,119845,7328,870.0,Jul
5,iOS 17 Hands-On: Top 5 Features!,2023-07-14,5050601,141229,6012,753.0,Jul
6,Nothing Phone 2 Review: A Real Personality!,2023-07-13,2369930,84923,3750,730.0,Jul
7,"iOS 17's ""Personal Voice"" Feature!",2023-07-12,1487734,75152,1153,58.0,Jul
8,This Phone is Nearly Perfect!,2023-07-07,3487165,130085,6236,461.0,Jul
9,"The $600,000 Diamond iPhone 💎",2023-07-06,872934,46588,1046,60.0,Jul
10,Dope Tech: Nothing Phone 2 Redesign!,2023-07-03,3542618,137202,4274,1028.0,Jul
11,Why Does the M2 Mac Pro Exist?,2023-06-28,2058770,72910,3098,679.0,Jun
12,Google Pixel Fold Review: Maybe Next Year!,2023-06-26,2582021,78817,3898,1007.0,Jun
13,The World's Largest iPhone Has a Secret...,2023-06-22,14134257,872770,3659,56.0,Jun
14,Pixel Tablet Review: Is Google Back?!,2023-06-20,2535331,78563,4349,783.0,Jun
15,Apple's Forbidden Words,2023-06-15,3126097,126651,5980,596.0,Jun
16,"15"" MacBook Air M2 Review: The Obvious Thing!",2023-06-12,2873181,86433,3405,491.0,Jun
17,Apple Vision Pro vs Ready Player One?,2023-06-08,2565420,156390,2274,53.0,Jun
18,Apple Vision Pro Impressions!,2023-06-06,16644750,520553,39798,1211.0,Jun
19,How Does Sony Keep Doing This?,2023-06-03,4524499,140850,9650,754.0,Jun
20,RAZR+ Impressions: Is This What You Wanted?,2023-06-01,3689168,106418,6074,525.0,Jun
21,iPad Killer or Clone?,2023-05-26,3039997,88863,4196,596.0,May
22,The Most Tech I've Ever Seen in a Car!,2023-05-19,6606415,377793,4527,60.0,May
23,I Tried a Secret Google Project!,2023-05-18,2900976,137574,7581,743.0,May
24,This is the Dumbest Product I've Ever Reviewed,2023-05-15,7098341,204673,12844,1112.0,May
25,Apple and Google had to work TOGETHER!,2023-05-12,3633530,210075,2208,59.0,May
